Hotel_Name,Hotel_Rating,City,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Hotel_Price
Trident Hotel Cochin,4.4,kochi,5-star hotel,Free breakfast,Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Restaurant,"₹7,246"
The Gateway Hotel Marine Drive Ernakulam,4.3,kochi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Restaurant,"₹9,440"
Ramada by Wyndham Kochi,4.5,kochi,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Bar,"₹8,964"
The Renai cochin,4.2,kochi,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Bar,"₹2,768"
SpringField Billets Hotel,4.2,kochi,3-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Kitchen in some rooms,Airport shuttle,Full-service laundry,Business center,Kid-friendly,"₹1,340"
Grand Hyatt Kochi Bolgatty,4.7,kochi,5-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Pools,Hot tub,Air conditioning,Fitness center,Spa,"₹14,316"
Boche Island - Kumbalangi,4.1,kochi,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Pet-friendly,Spa,Restaurant,"₹5,827"
Cherai Beach Resorts,3.9,kochi,3-star hotel,Free breakfast,Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Beach access,"₹3,281"
Keys Select Kochi by Lemon Tree Hotels,4.0,kochi,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Full-service laundry,"₹4,017"
Crowne Plaza Kochi,4.6,kochi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Hot tub,Air conditioning,Fitness center,Spa,"₹7,295"
"Nihara Resort & Spa, Kadamakudy Island, Kochi",4.3,kochi,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Spa,Restaurant,Room service,"₹4,692"
Club Mahindra Resort Cherai Kochi,4.1,kochi,5-star hotel,Free breakfast,Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Beach access,NA
Ayurjani Ayurvedics,4.2,kochi,Sleeps 4,2 bedrooms,Air conditioning,Fireplace,Paid parking,No crib,No elevator,No fitness center,No ironing board,₹896
Radisson Blu Kochi,4.3,kochi,5-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Outdoor pool,Hot tub,Air conditioning,Fitness center,Spa,"₹6,614"
Le Méridien Kochi,4.4,kochi,5-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Bar,"₹8,176"
The OneTree Beach Resort,4.0,kochi,Free breakfast,Free Wi-Fi,Parking,Beach access,Kitchen in some rooms,Full-service laundry,NA,NA,NA,"₹3,884"
Hotel South Gate Residency,3.9,kochi,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,Kid-friendly,"₹1,219"
Sherly's Ente Kumbalanghi,4.6,kochi,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,NA
Hotel Cochin Palace,4.1,kochi,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Airport shuttle,"₹2,663"
The Luminara A Unit of Elite Tourist Home,4.3,kochi,Free breakfast,Free parking,Pool,Air conditioning,Restaurant,Room service,Kitchen in some rooms,Airport shuttle,Full-service laundry,"₹2,354"
Niyati Boutique Stay,4.2,kochi,3-star hotel,Free breakfast,Wi-Fi,Parking,Air conditioning,Restaurant,Kitchen in some rooms,Airport shuttle,Full-service laundry,"₹2,925"
Kochi Riverside Homestay,4.8,kochi,Sleeps 5,2 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,No elevator,"₹2,719"
Bolgatty Palace and Island Resort,4.3,kochi,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Hot tub,Air conditioning,Fitness center,Spa,"₹5,173"
