Hotel_Name,Hotel_Rating,City,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Hotel_Price
PLANET RESIDENCY,4.5,trivandrum,Free Wi-Fi,Parking ($),Air conditioning,Breakfast,Kitchen in some rooms,NA,NA,NA,NA,"₹1,263"
Saras Park Inn,3.4,trivandrum,2-star hotel,Air conditioning,Kitchen in some rooms,Full-service laundry,Kid-friendly,NA,NA,NA,NA,₹875
Stayzone Royal INN,3.7,trivandrum,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Room service,Kitchen in some rooms,Airport shuttle,Full-service laundry,Kid-friendly,₹909
Hotel Prathiba Heritage,3.7,trivandrum,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Full-service laundry,Kid-friendly,Smoke-free property,NA,NA,₹956
Adara Residency,4.3,trivandrum,NA,NA,NA,NA,NA,NA,NA,NA,NA,"₹1,616"
Hotel Venkateswara,3.7,trivandrum,3-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,"₹1,347"
Hilton Garden Inn Trivandrum,4.3,trivandrum,5-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Bar,Restaurant,"₹6,837"
KTDC Grand Chaithram,4.1,trivandrum,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,"₹2,509"
Majestic Lodge,4.1,trivandrum,Free breakfast,Free Wi-Fi,Parking ($),Kitchen in some rooms,NA,NA,NA,NA,NA,"₹1,236"
Safire Residency,4.0,trivandrum,3-star hotel,Wi-Fi,Air conditioning,Pet-friendly,Kitchen in some rooms,Airport shuttle,Full-service laundry,Kid-friendly,NA,"₹1,165"
Hotel Sunday - Townhouse Club - Near Airport - Trivandrum,3.7,trivandrum,Breakfast ($),Free Wi-Fi,Free parking,Kitchen in some rooms,Airport shuttle,Full-service laundry,NA,NA,NA,"₹1,120"
"Government Youth Hostel,Veli, Thiruvananthapuram",3.7,trivandrum,Free Wi-Fi,Parking,Kitchen in some rooms,Full-service laundry,NA,NA,NA,NA,NA,NA
Meghna Residency,3.6,trivandrum,3-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Air conditioning,Room service,Airport shuttle,Full-service laundry,Accessible,₹831
The South Gate By WB Hotels,3.9,trivandrum,Free breakfast,Free Wi-Fi,Air conditioning,Room service,Full-service laundry,Kid-friendly,NA,NA,NA,"₹2,111"
Anies Garden | Rooms in a Homestay,4.3,trivandrum,Sleeps 5,2 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,No elevator,"₹1,645"
VIJI Home Stay,NA,trivandrum,House,Sleeps 5,1 bedroom,1 bathroom,1 bed,Balcony,Pet-friendly,Smoke-free,Free parking,₹747
Treebo Trend Goodland Residency,4.1,trivandrum,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Airport shuttle,"₹4,265"
Windsor Rajadhani,4.1,trivandrum,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Hot tub,Air conditioning,Fitness center,Spa,"₹4,341"
Backwater Ripples,4.4,kumarakom,3-star hotel,Free breakfast,Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Restaurant,"₹8,968"
Lakesong Resort,4.2,kumarakom,4-star hotel,Free breakfast,Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Restaurant,"₹11,948"
Abad Whispering Palms | Resort in Kumarakom,4.3,kumarakom,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Restaurant,"₹6,921"
Cocobay Resort,4.2,kumarakom,3-star hotel,Free breakfast,Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Restaurant,"₹6,138"
Paradise Resorts Kumarakom,4.1,kumarakom,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Spa,Restaurant,Airport shuttle,"₹5,148"
"The Zuri Kumarakom, Kerala Resort & Spa",4.3,kumarakom,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Hot tub,Air conditioning,Fitness center,Spa,"₹13,682"
Club Mahindra Kumarakom Resort in Kerala,3.8,kumarakom,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Spa,Restaurant,Kitchen in some rooms,NA
Saro Lake County,4.0,kumarakom,3-star hotel,Free breakfast,Free Wi-Fi,Parking,Pool,Air conditioning,Restaurant,Kitchen in some rooms,Airport shuttle,"₹2,945"
Kumarakom Heritage Resort & Ayurveda,4.1,kumarakom,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Spa,Bar,Restaurant,"₹5,355"
Rhythm Kumarakom,4.5,kumarakom,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Restaurant,"₹14,712"
Manor Backwater Resort,3.8,kumarakom,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Restaurant,Kitchen in some rooms,Full-service laundry,"₹3,024"
ILLIKKALAM Lakeside Cottages,4.1,kumarakom,3-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Kitchen in some rooms,"₹3,549"
KTDC Waterscapes,4.5,kumarakom,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,"₹10,560"
Backwater Brook,4.7,kumarakom,Free breakfast,Free Wi-Fi,Outdoor pool,Restaurant,Kitchen in some rooms,Full-service laundry,Kid-friendly,NA,NA,"₹5,063"
Gokulam Grand Resort and Spa Kumarakom,4.7,kumarakom,Breakfast ($),Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Restaurant,Room service,"₹14,059"
Backwater Ripples,4.4,kumarakom,3-star hotel,Free breakfast,Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Restaurant,"₹8,961"
Lily Pad on the Vembanad,4.2,kumarakom,3-star hotel,Free breakfast,Free Wi-Fi,Parking,Outdoor pool,Air conditioning,Spa,Restaurant,Room service,"₹6,160"
Kumarakom Lake Resort,4.8,kumarakom,5-star hotel,Free breakfast,Wi-Fi,Free parking,Pools,Hot tub,Air conditioning,Fitness center,Spa,"₹30,267"
Renai Green Fields,3.8,kumarakom,3-star hotel,Free breakfast,Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Restaurant,Room service,"₹2,849"
Kumarakom Park Resort,4.3,kumarakom,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Bar,Restaurant,Room service,Full-service laundry,"₹6,726"
Meenakshi River Villa | Rooms & Wi-Fi,4.5,kumarakom,Sleeps 6,2 bedrooms,Air conditioning,Fireplace,Paid parking,Free Wi-Fi,No crib,No elevator,No fitness center,"₹3,488"
Kumarakom Wood Castle,4.4,kumarakom,Sleeps 3,1 bedroom,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,No elevator,"₹2,861"
Abad Whispering Palms | Resort in Kumarakom,4.3,kumarakom,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Restaurant,"₹7,999"
